Fase,Banco,Tipo de tronadura,Tipo Material,M,Dominio Estructural,Diámetro,BxS,Tiempo entre Pozos Filas ms,Fc,Tipo Explosivo,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Este,Norte,Cota,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,471,J,0.6,1.0,2.2,3.0,3.8,4.8,5.6,6.7,8.3,9.5,59273.0,90863.0,2990.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,7x7,5-87,469,J,0.6,2.1,2.8,3.6,4.3,5.0,5.7,6.5,7.9,9.6,59270.0,90875.0,2990.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,507,L,0.6,1.2,1.9,2.6,3.3,4.0,4.8,6.0,7.1,10.8,59394.0,89932.0,2975.0,
Stage 4,2990,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,508,L,0.8,1.8,2.7,3.3,3.9,4.4,5.2,6.0,7.9,10.2,59237.0,90373.0,2990.0,
Stage 4,2990,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,507,L,0.5,0.9,1.7,2.4,3.1,3.9,4.6,5.7,7.6,10.2,59240.0,90268.0,2990.0,
Stage 4,2990,Tronadura 2,Roca 1,L4,Noreste,12 1/4,6x6,11-105,491,L,0.6,1.3,2.0,2.6,3.2,3.9,4.6,5.7,6.7,10.3,59259.0,90291.0,2990.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Norte,10 5/8,7.5x9,17-120,262,J,0.4,0.7,1.5,2.6,3.4,4.2,5.4,6.1,7.2,9.9,59176.0,90883.0,2990.0,
Stage 4,3575,Tronadura 1,Roca 2,L8,Norte,10 5/8,7x7,5-87,508,F,0.4,0.6,0.8,1.3,1.7,2.2,2.7,3.9,4.6,6.6,59154.0,91804.0,3575.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Norte,10 5/8,7x7,5-87,503,J,0.7,1.1,1.7,2.4,3.3,4.2,5.1,6.6,8.0,12.2,59201.0,90887.0,2990.0,
Stage 4,2990,Tronadura 2,Roca 1,L4,Norte,12 1/4,6.5x6.5,11-105,424,L,0.3,0.9,1.3,1.8,2.4,3.3,4.3,5.7,8.1,12.8,59387.0,89996.0,2975.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,7x7,5-87,503,J,0.7,1.3,2.4,3.3,4.0,4.9,5.4,6.4,7.7,12.0,59293.0,90523.0,2990.0,
Stage 4,2990,Tronadura 2,Roca 1,L4,Norte,12 1/4,6.5x6.5,11-105,424,L,0.4,0.7,1.2,2.0,2.9,3.7,4.7,5.9,8.1,13.7,59366.6,90034.7,2975.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,7x7,5-87,514,J,0.6,1.1,1.8,2.8,3.6,4.3,5.1,6.4,8.4,14.5,59292.5,90477.1,2990.0,
Stage 4,2990,Tronadura 1,Roca 2,L1,Norte,10 5/8,7.5x9,5-87,439,J,0.4,0.8,1.3,1.9,2.4,3.2,3.8,4.7,5.6,11.5,59460.5,89628.5,2990.0,
Stage 4,2990,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7.5x9,,263,L,0.4,0.7,1.2,2.0,3.0,4.0,5.0,6.0,9.4,14.0,59356.5,90218.2,2990.0,
Stage 4,2975,Tronadura 2,Roca 2,L1,Norte,10 5/8,7.5x9,5-87,468,J,0.2,0.5,0.9,1.7,2.4,3.3,4.2,5.4,6.9,12.6,59390.7,89593.5,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,6.5x6.5,11-105,462,J,0.5,1.2,2.6,3.5,4.1,4.8,5.6,6.6,8.1,9.7,59205.1,90967.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,7.5x9,5-87,468,J,0.3,0.7,1.1,2.0,3.1,4.1,5.0,6.5,8.9,13.8,59447.1,89912.6,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,6.5x6.5,11-105,462,J,0.4,0.7,1.2,1.7,2.3,3.0,3.4,4.5,6.1,9.4,59187.7,90482.5,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,7.5x9,5-87,468,J,0.2,0.5,1.1,2.4,3.5,4.3,5.4,6.3,7.5,11.3,59435.2,89945.1,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,503,J,0.4,0.8,1.2,1.7,2.4,3.4,4.3,5.9,7.9,12.1,59177.7,90553.8,2975.0,
Stage 4,2990,Tronadura 2,Roca 1,L4,Norte,12 1/4,7.5x9,5-87,468,L,0.4,0.8,1.3,2.0,3.0,3.9,4.8,5.9,7.1,14.0,59372.2,90030.3,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,6.5x6.5,11-105,462,J,0.1,0.4,1.1,2.4,3.3,4.1,5.0,6.1,7.4,10.4,59177.6,90596.9,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,7.5x9,5-87,468,J,0.7,1.2,2.0,2.7,3.3,4.1,4.9,6.2,7.3,10.2,59425.7,90103.3,2990.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,6.5x6.5,11-105,481,J,0.1,0.6,0.9,1.7,3.0,4.0,5.2,6.3,7.8,12.6,,,,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,468,L,0.7,1.1,1.5,2.1,2.9,3.6,4.5,5.4,7.2,10.9,59171.0,90656.0,2975.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,481,J,0.4,0.8,1.1,1.8,2.7,3.9,4.8,6.0,8.1,15.2,59376.0,90238.0,2990.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,468,L,0.7,1.1,1.5,1.9,2.6,3.5,4.4,5.6,7.6,12.1,59175.0,90668.0,2975.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,503,J,0.5,0.8,1.1,1.7,2.4,3.2,4.5,6.0,7.6,10.6,59370.0,90254.0,2990.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,468,L,0.5,0.9,1.9,2.6,3.3,4.0,4.8,5.5,7.1,8.5,59158.0,90697.0,2975.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,503,J,0.1,0.5,0.8,1.1,1.9,3.2,4.7,6.3,8.3,15.1,59360.0,90259.0,2990.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,468,L,0.6,0.9,1.2,1.7,2.4,3.2,4.2,5.4,8.0,16.7,59174.0,90720.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,468,L,0.4,0.7,0.9,1.4,2.1,3.0,4.2,5.5,7.3,14.0,59147.0,90696.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,490,L,0.2,0.4,0.8,1.1,1.8,3.0,4.6,6.4,8.9,14.1,59213.0,90566.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,542,K,0.5,0.7,1.1,1.7,2.9,3.7,4.8,6.1,7.5,12.0,59336.0,89975.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,490,K,0.6,0.9,1.5,2.4,3.5,4.5,5.4,6.5,8.9,12.0,59311.5,90028.9,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,542,K,0.6,1.0,1.5,1.9,2.6,3.4,4.4,5.4,6.9,13.5,59230.4,90502.8,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,542,K,0.7,1.0,1.5,1.9,2.6,3.5,4.3,5.6,7.2,16.1,59309.5,90064.9,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,542,K,0.3,0.6,1.0,1.9,3.0,3.9,5.0,6.1,7.6,10.2,59309.6,90070.8,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,513,B,0.3,0.7,1.8,3.0,3.7,4.3,5.0,5.9,7.2,10.0,59288.0,90123.2,2975.0,
Stage 4,2990,Tronadura 1,Roca 2,L1,Norte,10 5/8,7.5x9,5-87,297,K,0.3,0.6,1.8,2.6,3.4,3.9,4.5,5.1,6.1,7.7,59362.3,89443.8,2990.0,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,503,J,0.4,0.9,1.9,2.6,3.4,4.0,5.0,6.0,6.9,10.1,59332.8,90333.9,2990.0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2990,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,503,J,0.5,1.0,2.0,2.9,3.8,4.4,5.2,6.5,7.0,8.8,59303.0,90387.0,2990.0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2975,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,501,L,0.5,0.9,1.6,2.7,3.5,4.3,5.1,5.6,7.0,9.5,58835.0,90743.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,462,J,0.6,1.5,2.5,3.3,4.1,4.8,5.6,6.1,7.1,9.5,59437.0,89972.0,2975.0,
Stage 2,3575,Tronadura 1,Roca 2,L1,Norte,10 5/8,7.5x9,17-120,271,F,0.9,1.9,2.4,2.8,3.0,3.6,4.1,4.6,5.5,9.1,59014.0,91719.0,3575.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,468,J,0.8,1.5,2.4,3.2,4.1,4.6,5.6,6.6,7.5,10.1,59223.0,90620.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,513,B,0.6,1.4,2.0,2.5,3.1,3.8,4.2,5.0,5.7,8.4,59259.0,90145.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,468,J,0.9,1.5,2.4,3.3,4.1,5.1,6.2,6.9,8.5,11.7,59244.0,59252.0,2975.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,468,J,0.2,0.6,2.1,3.1,3.9,4.5,5.4,6.5,7.0,13.1,59214.0,90707.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,513,B,0.2,0.5,1.1,2.0,3.1,3.9,4.6,5.8,7.0,8.0,59268.0,90173.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,501,L,0.4,0.6,2.1,3.3,3.9,4.4,5.1,5.8,6.6,11.9,58837.5,90751.4,2975.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,487,J,0.4,0.8,1.1,1.9,3.0,4.1,5.2,6.3,8.3,15.5,59250.8,90606.4,2975.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,470,J,0.4,1.0,2.2,3.1,3.7,4.3,5.1,6.1,7.1,10.1,58922.0,90793.9,2975.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,470,J,0.1,0.4,0.8,2.2,3.2,3.9,4.9,6.2,7.8,13.3,58915.1,90808.0,2975.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,468,L,0.2,0.5,0.9,1.8,3.0,4.0,5.2,6.3,8.5,12.2,59186.8,90442.8,2975.0,
Stage 4,2975,Tronadura 1,Roca 2,L1,Noreste,10 5/8,7.5x9,11-105,341,K,0.5,0.9,1.2,1.7,2.4,3.1,4.1,5.3,7.4,13.0,59417.1,89698.9,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,509,L,0.4,0.8,1.1,1.7,2.4,3.4,4.5,6.1,8.1,12.9,59203.7,90341.6,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,509,L,0.2,0.6,0.9,1.6,2.7,3.7,4.8,5.9,8.0,11.8,59197.0,90364.1,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,509,L,0.9,1.3,1.9,2.4,3.0,3.6,4.3,5.4,5.8,8.7,59217.0,90345.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,500,L,0.4,0.7,1.3,2.0,2.6,3.6,4.5,5.4,5.7,6.7,59329.0,90132.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,462,J,0.7,1.2,2.1,2.9,3.6,4.4,4.8,5.5,7.2,8.7,59419.0,90038.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,468,J,0.3,0.7,1.5,2.4,3.1,3.9,4.7,6.1,9.3,13.5,59266.0,90610.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,509,L,0.8,0.9,1.7,3.1,3.9,4.6,5.1,5.7,7.1,10.3,59226.0,90322.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,465,J,0.8,1.2,1.7,2.2,3.0,4.1,5.2,6.5,8.9,14.3,59056.0,90820.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,509,L,0.9,1.3,1.9,2.5,3.3,3.9,4.6,5.8,7.3,9.1,59242.0,90322.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,465,J,0.5,0.7,0.9,1.5,2.7,3.7,5.1,6.2,8.3,9.8,59002.0,90821.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,509,L,0.4,0.6,1.0,2.2,3.5,4.4,5.1,5.6,7.6,8.6,59247.0,90353.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,467,J,0.7,1.3,2.2,3.3,4.0,4.8,5.4,6.5,7.5,11.3,59235.0,90756.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,509,L,0.5,0.8,1.4,2.1,3.0,3.6,4.6,5.7,7.0,9.4,59245.0,90376.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,467,J,0.3,0.6,1.0,1.8,2.8,3.7,4.8,6.4,8.7,13.0,59255.0,90809.0,2975.0,
Stage 4,2975,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,477,L,0.3,0.7,1.1,1.7,2.4,3.3,4.3,5.6,7.4,13.1,59245.0,94230.0,2975.0,
Stage 2,3590,Tronadura 1,Roca 2,L1,Norte,10 5/8,10x12.5,11-105,228,F,0.5,0.8,1.1,1.4,1.9,2.6,3.5,4.4,5.7,12.1,58929.0,91727.0,3590.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,484,J,0.1,0.4,0.7,1.4,2.5,3.8,4.8,6.3,9.0,12.0,59404.9,90067.1,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,463,J,0.1,0.4,0.6,1.2,2.5,3.7,4.6,6.0,7.2,12.0,58855.1,90786.3,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,484,J,0.1,0.4,0.6,1.0,2.0,3.2,4.5,6.1,8.3,13.0,59170.4,90532.1,2975.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,492,K,0.4,0.6,1.0,2.1,3.6,4.3,5.4,6.2,7.7,10.7,59169.3,90532.4,2960.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,484,J,0.1,0.2,0.4,0.8,2.1,3.5,4.9,6.5,8.3,11.9,59389.9,90160.9,2975.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,492,L,0.1,0.3,0.4,1.6,2.9,3.7,5.0,6.3,8.9,11.2,59165.0,90590.8,2960.0,
Stage 4,2975,Tronadura 1,Roca 2,L1,Noreste,10 5/8,7.5x9,11-105,341,K,0.1,0.4,0.6,1.0,1.7,2.6,3.8,5.1,7.6,13.4,59421.4,89674.8,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,463,J,0.2,0.5,0.8,1.1,2.1,3.4,4.5,6.3,8.3,12.8,58845.8,90787.1,2975.0,
Stage 4,2975,Tronadura 1,Roca 2,L1,Noreste,10 5/8,7.5x9,11-105,341,K,0.1,0.4,0.7,1.4,2.6,3.7,4.4,5.3,6.5,11.1,59416.8,89627.5,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,463,J,0.2,0.6,0.9,1.3,2.0,3.3,4.6,6.1,7.8,16.7,58882.9,90781.4,2975.0,
Stage 4,2975,Tronadura 1,Roca 2,L1,Noreste,10 5/8,7.5x9,11-105,341,K,0.3,0.6,0.9,1.3,1.8,2.6,3.8,5.2,7.6,10.9,59400.2,89660.6,2975.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,492,L,0.2,0.5,0.8,1.1,1.8,2.9,4.4,6.1,8.2,14.4,59149.6,90656.4,2960.0,
Stage 4,2975,Tronadura 1,Roca 2,L1,Noreste,10 5/8,7.5x9,11-105,341,K,0.3,0.6,0.8,1.1,1.6,2.6,4.0,5.3,7.5,11.8,59396.2,89608.3,2975.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,492,L,0.4,0.5,0.8,1.5,2.5,3.6,4.8,6.0,7.9,10.0,59142.5,90671.4,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,492,L,0.3,0.5,0.7,1.3,2.4,3.4,4.6,5.9,8.2,10.2,59166.0,90699.0,2960.0,
Stage 4,2975,Tronadura 1,Roca 2,L1,Sureste,10 5/8,7.5x9,11-105,244,F,0.4,0.6,0.7,1.1,1.7,2.6,3.8,5.3,6.9,9.3,59384.0,89537.0,2975.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,484,B,0.5,0.7,1.1,1.6,2.2,3.1,4.0,5.8,7.9,13.3,59166.0,90726.0,2960.0,
Stage 2,3560,Tronadura 2,Roca 2,L8,Norte,12 1/4,8.5x9.5,9-94,395,F,0.5,0.7,0.9,1.3,1.6,2.1,2.7,3.6,5.3,10.3,59168.0,91755.0,3560.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,484,B,0.5,1.3,2.1,2.7,3.1,3.7,4.3,5.3,6.7,11.7,59062.8,90742.6,2960.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,349,K,0.5,0.9,2.2,3.4,4.3,5.0,5.9,6.5,8.7,10.2,58805.6,90784.6,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,349,K,0.5,0.7,0.9,2.0,2.9,3.7,4.8,6.3,9.6,11.1,59179.0,90180.0,2975.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,479,J,1.4,2.4,3.1,3.6,4.2,5.0,5.8,6.3,7.4,8.5,59158.0,90845.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 2,L1,Sureste,7 7/8,5.5x5.5,17-120,272,J,0.6,1.2,1.9,2.3,2.8,3.3,4.0,4.7,5.5,8.5,59238.0,89481.0,2975.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,465,J,0.5,1.1,2.2,3.1,3.8,4.5,5.4,6.5,7.8,12.0,59207.0,90211.0,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,488,L,0.6,1.3,2.0,2.7,3.2,3.7,4.3,4.8,5.9,10.6,59056.0,90833.0,2975.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,465,B,0.5,0.9,1.9,2.6,3.1,3.5,4.4,5.8,6.9,8.5,59024.0,90720.0,2960.0,
Stage 2,3560,Tronadura 2,Roca 2,L1,Norte,12 1/4,7.5x8.5,9-94,404,K,0.5,0.7,0.9,1.3,1.7,2.3,2.9,3.7,5.4,9.3,58989.0,91572.0,2975.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,488,K,0.4,0.8,1.1,1.6,2.5,3.7,4.8,6.3,8.5,19.5,59192.1,90225.1,2960.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,479,J,0.2,0.6,1.0,1.5,2.4,3.6,5.1,6.6,8.4,14.9,59121.4,29855.1,2975.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,465,B,0.5,0.9,1.3,1.6,2.1,3.0,4.2,5.9,8.4,15.1,59012.6,90737.6,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,488,L,0.6,0.9,1.3,1.7,2.5,3.4,4.4,5.6,8.7,12.8,59181.3,90272.8,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,463,B,0.4,0.7,1.0,1.5,2.2,3.4,4.7,6.3,8.4,14.0,59282.6,89935.3,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,465,B,0.7,0.9,1.3,1.6,2.1,2.9,3.9,5.5,7.4,14.7,58976.1,90735.1,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,488,L,0.6,1.0,1.5,2.0,2.8,3.6,4.6,5.8,7.5,14.3,59221.4,90205.4,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,463,B,0.4,0.7,1.0,1.5,2.3,3.4,4.7,6.2,9.0,18.5,59298.3,89935.4,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,465,B,0.7,1.1,1.5,2.0,2.8,3.6,4.5,5.9,7.4,14.8,59981.6,90763.4,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,488,L,0.6,0.9,1.3,1.7,2.4,3.2,4.2,5.4,7.6,13.1,59198.9,90286.2,2960.0,
Stage 4,2960,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,463,B,0.3,0.6,0.8,1.2,2.1,3.2,4.5,6.2,8.5,14.5,59314.2,89912.1,2960.0,
Stage 2,3560,Tronadura 2,Roca 2,L8,Norte,10 5/8,9.5x11,17-150,196,K,0.6,0.8,1.0,1.3,1.7,2.3,3.5,4.7,6.1,9.6,58910.4,91534.4,3560.0,
Stage 2,3560,Tronadura 2,Roca 1,L7,Norte,10 5/8,7x7.5,5-87,472,J,0.7,0.9,1.3,1.8,2.7,3.8,5.1,6.7,8.3,13.5,58947.4,91502.2,3560.0,
Stage 4,2975,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,479,J,0.3,0.6,1.1,1.6,2.3,3.3,4.3,6.1,8.7,18.6,59204.1,90856.9,2975.0,
